City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Saskylakh,RU,71.9167,114.0833,45.61,75,100,9.6,overcast clouds,2022-08-01 04:11:24
1,Lieksa,FI,63.3167,30.0167,57.78,85,26,4.68,scattered clouds,2022-08-01 04:11:25
2,Vaini,TO,-21.2,-175.2,78.96,94,75,6.91,broken clouds,2022-08-01 04:11:26
3,Hermanus,ZA,-34.4187,19.2345,38.8,75,0,7.72,clear sky,2022-08-01 04:11:27
4,Tromso,NO,69.6496,18.957,57.38,82,0,0.0,clear sky,2022-08-01 04:11:28
5,Boa Vista,BR,2.8197,-60.6733,80.58,78,40,2.3,scattered clouds,2022-08-01 04:11:29
6,Kodiak,US,57.79,-152.4072,63.91,72,75,0.0,broken clouds,2022-08-01 04:11:29
7,Dhidhdhoo,MV,6.8833,73.1,78.57,77,100,31.9,heavy intensity rain,2022-08-01 04:11:30
8,Lata,PT,40.1629,-8.3327,68.5,58,0,2.35,clear sky,2022-08-01 04:11:31
9,Mar Del Plata,AR,-38.0023,-57.5575,52.88,88,65,4.0,mist,2022-08-01 04:11:31
10,Bluff,NZ,-46.6,168.3333,51.8,73,100,17.13,overcast clouds,2022-08-01 04:11:32
11,Hobart,AU,-42.8794,147.3294,55.26,63,75,20.71,broken clouds,2022-08-01 04:11:32
12,Pevek,RU,69.7008,170.3133,54.54,49,1,10.27,clear sky,2022-08-01 04:11:33
13,Verkhnyaya Toyma,RU,62.2349,44.9985,59.32,89,10,4.83,clear sky,2022-08-01 04:11:33
14,Vila Velha,BR,-20.3297,-40.2925,69.75,85,75,3.44,broken clouds,2022-08-01 04:11:34
15,Cajati,BR,-24.7361,-48.1228,53.89,98,2,1.63,clear sky,2022-08-01 04:07:28
16,Sitka,US,57.0531,-135.33,57.09,94,100,8.05,light intensity drizzle,2022-08-01 04:11:35
17,Mitoc,RO,48.1,27.0333,64.71,97,100,10.04,light rain,2022-08-01 04:11:36
18,Hasaki,JP,35.7333,140.8333,95.4,66,81,8.77,broken clouds,2022-08-01 04:11:37
19,Busselton,AU,-33.65,115.3333,61.97,74,63,24.92,broken clouds,2022-08-01 04:09:43
20,Rikitea,PF,-23.1203,-134.9692,72.0,75,99,25.64,light rain,2022-08-01 04:09:35
21,Upernavik,GL,72.7868,-56.1549,47.84,64,53,6.22,broken clouds,2022-08-01 04:11:36
22,Santa Cruz De Tenerife,ES,28.4682,-16.2546,80.58,92,100,13.8,fog,2022-08-01 04:11:38
23,Micheweni,TZ,-4.9667,39.8333,73.53,82,61,9.17,broken clouds,2022-08-01 04:11:39
24,Mehamn,NO,71.0357,27.8492,58.95,82,75,3.44,broken clouds,2022-08-01 04:11:40
25,Lapeer,US,43.0514,-83.3188,73.78,60,0,4.61,clear sky,2022-08-01 04:11:40
